Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-06-27,20.809999,22.43,20.790001,22.110001,22.110001,5704100,93
2022-06-28,22.59,22.91,22.040001,22.65,22.65,6205200,94
2022-06-29,22.85,23.059999,21.860001,21.870001,21.870001,5301800,95
2022-06-30,22.18,22.440001,18.280001,19.01,19.01,14379700,96
2022-07-01,19.870001,20.110001,19.18,19.309999,19.309999,6366100,97
2022-07-05,18.99,19.52,18.35,18.66,18.66,7107000,98
2022-07-06,19.02,19.110001,18.299999,18.85,18.85,3963900,99
2022-07-07,19.68,21.700001,19.5,21.139999,21.139999,9116400,100
2022-07-08,21.01,21.43,20.459999,20.57,20.57,4139600,101
2022-07-11,22.48,22.6,21.620001,22.030001,22.030001,6159800,102
2022-07-12,22.52,22.610001,20.459999,21.209999,21.209999,9950300,103
2022-07-13,22.209999,23.129999,21.84,22.43,22.43,6428400,104
2022-07-14,23.1,23.34,22.26,22.700001,22.700001,5116300,105
2022-07-15,22.610001,24.280001,22.32,24.24,24.24,3955900,106
2022-07-18,24.99,25.709999,24.92,25.34,25.34,4665500,107
2022-07-19,24.530001,25.299999,24.389999,24.93,24.93,5010900,108
2022-07-20,25.450001,27.33,24.959999,26.780001,26.780001,6462600,109
2022-07-21,26.5,27.75,26.110001,27.02,27.02,5045300,110
2022-07-22,27.860001,28.58,27.77,28.299999,28.299999,6494900,111
2022-07-25,28.690001,30.02,28.34,29.709999,29.709999,6470600,112
2022-07-26,31.48,31.52,29.870001,30.120001,30.120001,12077200,113
2022-07-27,29.889999,30.17,28.780001,29.74,29.74,6708900,114
2022-07-28,29.540001,30.549999,27.950001,28.34,28.34,7022700,115
2022-07-29,28.709999,28.84,27.620001,28.620001,28.620001,7341900,116
2022-08-01,27.17,28.620001,26.879999,28.5,28.5,10406100,117
2022-08-02,27.01,27.360001,26.299999,26.41,26.41,9028900,118
2022-08-03,26.41,29.23,26.059999,28.530001,28.530001,12917300,119
2022-08-04,28.030001,28.379999,26.950001,28.17,28.17,9455600,120
2022-08-05,27.629999,28.440001,27.450001,27.57,27.57,4409800,121
2022-08-08,26.459999,26.85,26.01,26.280001,26.280001,4897500,122
2022-08-09,26.83,27.219999,26.52,26.959999,26.959999,4863200,123
2022-08-10,27.01,28.51,26.83,28.389999,28.389999,8840900,124
2022-08-11,29.09,31.01,28.49,30.110001,30.110001,8221700,125
2022-08-12,30.51,30.76,29.9,30.26,30.26,4880700,126
2022-08-15,29.18,30.82,28.98,30.559999,30.559999,6417800,127
2022-08-16,31.799999,32.470001,31.139999,32.27,32.27,8236700,128
2022-08-17,32.630001,32.650002,31.459999,31.879999,31.879999,5279900,129
2022-08-18,31.879999,33.310001,30.719999,31.76,31.76,10308800,130
2022-08-19,31.360001,32.369999,31.219999,32.049999,32.049999,5541200,131
2022-08-22,33.889999,33.93,32.549999,33.790001,33.790001,6472100,132
2022-08-23,34.049999,34.5,31.18,32.009998,32.009998,12074700,133
2022-08-24,31.870001,32.529999,31.33,31.860001,31.860001,7358800,134
2022-08-25,32.209999,32.48,31.620001,32.299999,32.299999,4212300,135
2022-08-26,32.91,33.34,31.690001,31.99,31.99,5427300,136
2022-08-29,31.700001,33.02,31.52,31.940001,31.940001,5477900,137
2022-08-30,31.190001,31.74,30.639999,31.4,31.4,4758000,138
2022-08-31,30.83,32.09,30.559999,31.65,31.65,5493400,139
2022-09-01,32.029999,32.470001,31.540001,31.74,31.74,6050100,140
2022-09-02,31.120001,31.139999,29.809999,30.709999,30.709999,9439400,141
2022-09-06,28.85,29.379999,27.08,27.799999,27.799999,7922400,142
2022-09-07,27.530001,27.83,26.959999,27.01,27.01,6036800,143
2022-09-08,27.6,27.9,27.200001,27.530001,27.530001,4290700,144
2022-09-09,27.74,27.91,27.290001,27.889999,27.889999,3626700,145
2022-09-12,27.709999,29.07,27.709999,29.01,29.01,5225500,146
2022-09-13,28.75,29.24,28.200001,29.129999,29.129999,4251900,147
2022-09-14,30.41,31.940001,29.93,31.450001,31.450001,7019500,148
2022-09-15,29.299999,29.540001,28.379999,28.66,28.66,6455300,149
2022-09-16,27.68,27.91,26.719999,26.950001,26.950001,4494300,150
2022-09-19,26.440001,27.4,26.389999,27.35,27.35,4226000,151
2022-09-20,26.93,27.639999,26.49,26.67,26.67,2754100,152
2022-09-21,27.459999,27.459999,26.18,26.969999,26.969999,3152600,153
2022-09-22,26.530001,26.620001,24.66,25.15,25.15,3617400,154
2022-09-23,23.75,24.73,23.620001,24.07,24.07,7077600,155
2022-09-26,23.33,24.360001,23.030001,24.209999,24.209999,4823300,156
2022-09-27,23.57,24.26,23.190001,23.41,23.41,5856300,157
2022-09-28,23,24.18,22.77,24.09,24.09,4626600,158
2022-09-29,23.35,24.01,22.65,23.700001,23.700001,4626600,159
2022-09-30,23.280001,24.23,23.08,23.379999,23.379999,4234700,160
2022-10-03,22.27,22.530001,21.700001,22.459999,22.459999,5890200,161
2022-10-04,22.700001,23.690001,22.6,23.49,23.49,5410400,162
2022-10-05,23.969999,24.049999,23.559999,23.940001,23.940001,4762100,163
